"INDEX","TARGET_WINS","TEAM_BATTING_H","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_BASERUN_CS","TEAM_PITCHING_H","TEAM_PITCHING_HR","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","CS_MISSING","DP_MISSING","SO_BAT_MISSING","SO_PITCH_MISSING","SB_MISSING","TARGET_WINS_OUTLIER","TEAM_BATTING_H_OUTLIER","TEAM_BATTING_2B_OUTLIER","TEAM_BATTING_3B_OUTLIER","TEAM_BATTING_HR_OUTLIER","TEAM_BATTING_BB_OUTLIER","TEAM_BATTING_SO_OUTLIER","TEAM_BASERUN_SB_OUTLIER","TEAM_BASERUN_CS_OUTLIER","TEAM_BATTING_HBP_OUTLIER","TEAM_PITCHING_H_OUTLIER","TEAM_PITCHING_HR_OUTLIER","TEAM_PITCHING_BB_OUTLIER","TEAM_PITCHING_SO_OUTLIER","TEAM_FIELDING_E_OUTLIER","TEAM_FIELDING_DP_OUTLIER","TEAM_PITCHING_H_CAPPED","TEAM_FIELDING_E_CAPPED","SINGLES","TOTAL_BASES","SB_SUCCESS_RATE","WHIP_PROXY","ERROR_RATE","POWER_RATIO","HR_RATIO","BB_SO_RATIO","PITCHING_K_BB_RATIO","LOG_WHIP_PROXY","LOG_TEAM_PITCHING_H","LOG_TEAM_FIELDING_E","LOG_SINGLES","LOG_TEAM_FIELDING_E_CAPPED","LOG_ERROR_RATE","LOG_TEAM_PITCHING_H_CAPPED","LOG_TEAM_BATTING_H","OFFENSIVE_TIER","PITCHING_TIER","ERROR_BUCKET"
1,39,1445,194,39,13,143,842,101,49,9364,84,927,5456,1011,149,1,1,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,NA,2563,716,1199,1756,0.673333333333333,63.5246913580247,0.0982411816150034,0.170242214532872,0.00899653979238754,0.169833729216152,5.8856526429342,4.15142867060371,9.1446278286108,6.91869521902047,7.08924315502751,6.57368016696065,-2.32032978681562,7.84893372636407,7.27586460054653,"Medium","Poor","High_Errors"
2,70,1339,219,22,190,685,1075,37,28,1347,191,689,1082,193,155,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1347,193,908,2172,0.569230769230769,12.5679012345679,0.0947937131630648,0.321882001493652,0.141896938013443,0.637209302325581,1.57039187227866,2.53114604243803,7.20563517641036,5.26269018890489,6.81124437860129,5.26269018890489,-2.35605218876553,7.20563517641036,7.19967834569117,"Low","Elite","Medium_Errors"
3,86,1377,232,35,137,602,917,46,27,1377,137,602,917,175,153,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1377,175,973,2090,0.63013698630137,12.216049382716,0.0884284992420414,0.293391430646333,0.0994916485112564,0.656488549618321,1.52325581395349,2.50275061037018,7.22766249872865,5.16478597392351,6.880384082186,5.16478597392351,-2.42556097167905,7.22766249872865,7.22766249872865,"Low","Elite","Medium_Errors"
4,70,1387,209,38,96,451,922,43,30,1396,97,454,928,164,156,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1396,164,1044,1960,0.589041095890411,11.4197530864198,0.0886486486486486,0.247296322999279,0.0692141312184571,0.489154013015184,2.04405286343612,2.43534458283999,7.24136628332232,5.0998664278242,6.95081476844258,5.0998664278242,-2.42307449024817,7.24136628332232,7.23489842031483,"Medium","Elite","Medium_Errors"
5,82,1297,186,27,102,472,920,49,39,1297,102,472,920,138,168,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1297,138,982,1843,0.556818181818182,10.9197530864198,0.0780101752402487,0.242868157286045,0.0786430223592907,0.51304347826087,1.94915254237288,2.3905733589274,7.16780918431644,4.92725368515721,6.88959130835447,4.92725368515721,-2.55091600900258,7.16780918431644,7.16780918431644,"Low","Elite","Medium_Errors"
6,75,1279,200,36,92,443,973,107,59,1279,92,443,973,123,149,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1279,123,951,1827,0.644578313253012,10.6296296296296,0.0714285714285714,0.256450351837373,0.071931196247068,0.455292908530319,2.19638826185102,2.36364534975529,7.15383380157884,4.81218435537242,6.85751406254539,4.81218435537242,-2.63905732961526,7.15383380157884,7.15383380157884,"Low","Elite","Low_Errors"
7,80,1244,179,54,122,525,1062,80,54,1244,122,525,1062,136,186,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1244,136,889,1897,0.597014925373134,10.9197530864198,0.07687959299039,0.285369774919614,0.0980707395498392,0.494350282485876,2.02285714285714,2.3905733589274,7.12608727329912,4.91265488573605,6.7900972355139,4.91265488573605,-2.56551480842373,7.12608727329912,7.12608727329912,"Low","Elite","Low_Errors"
8,85,1273,171,37,115,456,1027,40,36,1281,116,459,1033,112,136,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1281,112,950,1863,0.526315789473684,10.7407407407407,0.064367816091954,0.253731343283582,0.0903377847604085,0.444011684518014,2.25054466230937,2.37404405697619,7.15539630189673,4.71849887129509,6.85646198459459,4.71849887129509,-2.74314152091348,7.15539630189673,7.14913159855741,"Low","Elite","Low_Errors"
11,86,1391,197,40,114,447,922,69,27,1391,114,447,922,127,169,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1391,127,1040,2010,0.71875,11.3456790123457,0.0690968443960827,0.252336448598131,0.0819554277498203,0.484815618221258,2.06263982102908,2.42883696768325,7.23777819192344,4.84418708645859,6.94697599213542,4.84418708645859,-2.67224621645704,7.23777819192344,7.23777819192344,"Medium","Elite","Low_Errors"
12,76,1271,213,18,96,441,827,72,34,1271,96,441,827,131,159,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1271,131,944,1808,0.679245283018868,10.5679012345679,0.076518691588785,0.257277734067663,0.0755310778914241,0.533252720677146,1.87528344671202,2.3578212214693,7.14755927118945,4.87519732320115,6.8501261661455,4.87519732320115,-2.57022023350054,7.14755927118945,7.14755927118945,"Low","Elite","Low_Errors"
